X,Y,dow
562089,6974580,5.0
605540,6954240,5.0
606130,6953792,5.0
610474,6949536,5.0
619762,6946888,5.0
620434,6946919,5.0
627470,6945799,5.0
632610,6946690,5.0
635807,6948107,5.0
638970,6946754,5.0
639994,6946036,5.0
640260,6945830,5.0
672573,6904152,5.0
244298,6712457,5.0
244982,6712855,5.0
245081,6712921,5.0
245475,6713381,5.0
248117,6714950,5.0
248915,6715588,5.0
261381,6719923,5.0
262461,6720165,5.0
264978,6720511,5.0
266985,6721233,5.0
273291,6724662,5.0
275423,6725813,5.0
276084,6726125,5.0
278896,6728514,5.0
286560,6732868,5.0
287077,6733160,5.0
288606,6734580,5.0
291137,6736121,5.0
296965,6739785,5.0
305427,6743736,5.0
305441,6743739,5.0
305747,6743791,5.0
331516,6747499,5.0
337222,6747280,5.0
342228,6748438,5.0
345232,6749513,5.0
345456,6749633,5.0
347858,6751204,5.0
358207,6758940,5.0
360600,6760841,5.0
363582,6762414,5.0
365133,6763536,5.0
365562,6766297,5.0
381874,6775246,5.0
314088,6823478,5.0
313165,6823506,5.0
304462,6824154,5.0
296692,6824389,5.0
288519,6825316,5.0
287618,6825397,5.0
280700,6825984,5.0
265300,6824038,5.0
264422,6823877,5.0
241942,6823972,5.0
228688,6824472,5.0
224766,6823694,5.0
205151,6789856,5.0
205162,6789856,5.0
210983,6788198,5.0
211446,6787950,5.0
211988,6787661,5.0
225783,6785297,5.0
231208,6787684,5.0
233673,6787485,5.0
236284,6787295,5.0
240048,6787466,5.0
240053,6787468,5.0
240077,6787480,5.0
249782,6789961,5.0
268736,6792163,5.0
269025,6793604,5.0
269121,6794146,5.0
270980,6799433,5.0
271913,6801580,5.0
272002,6801727,5.0
272985,6802748,5.0
278952,6805236,5.0
279956,6805320,5.0
290299,6808574,5.0
291618,6809432,5.0
295536,6811408,5.0
299342,6812730,5.0
304504,6815298,5.0
304721,6815439,5.0
308329,6816206,5.0
310208,6817218,5.0
318484,6822067,5.0
323780,6823891,5.0
324782,6823728,5.0
325683,6823242,5.0
325809,6822960,5.0
325833,6822947,5.0
326715,6823111,5.0
326796,6823127,5.0
326872,6823144,5.0
327902,6823593,5.0
328588,6823536,5.0
328601,6823520,5.0
328752,6823489,5.0
330347,6822938,5.0
330899,6823077,5.0
331079,6823127,5.0
331079,6823127,5.0
331416,6823183,5.0
331709,6823212,5.0
332503,6823005,5.0
334493,6822221,5.0
338204,6820540,5.0
344649,6817015,5.0
345678,6816039,5.0
367075,6787421,5.0
393091,6769513,5.0
394642,6768908,5.0
396541,6768290,5.0
398346,6766879,5.0
423693,6761638,5.0
423705,6761629,5.0
423722,6761616,5.0
425192,6761311,5.0
425691,6761487,5.0
426255,6761297,5.0
426318,6761276,5.0
427727,6761009,5.0
427728,6760996,5.0
428127,6760972,5.0
430263,6760293,5.0
439694,6757203,5.0
459622,6753503,5.0
461692,6752696,5.0
310987,7084116,5.0
311348,7082734,5.0
314630,7078701,5.0
338140,7044879,5.0
343850,7039381,5.0
345103,7038035,5.0
346850,7036300,5.0
363433,7018388,5.0
366852,7013958,5.0
373111,7009901,5.0
403394,6961979,5.0
405079,6960252,5.0
406004,6959645,5.0
411224,6954098,5.0
411642,6953739,5.0
413656,6951877,5.0
457591,6900758,5.0
462189,6893864,5.0
466179,6890455,5.0
467802,6888929,5.0
469609,6888252,5.0
485844,6874061,5.0
495090,6865010,5.0
496447,6863298,5.0
509674,6844009,5.0
512635,6838245,5.0
512695,6838133,5.0
514345,6838872,5.0
514624,6837732,5.0
513642,6814023,5.0
519696,6806496,5.0
520810,6797902,5.0
554792,6768867,5.0
556238,6766214,5.0
584779,6864740,5.0
599909,6860982,5.0
601857,6860894,5.0
601997,6860884,5.0
602102,6860887,5.0
607768,6862671,5.0
624546,6850814,5.0
628049,6838421,5.0
496065,6702965,5.0
495522,6703811,5.0
494411,6707595,5.0
495950,6720588,5.0
493693,6725177,5.0
486443,6751266,5.0
485979,6752017,5.0
495939,6762310,5.0
293309,6990954,5.0
303035,6991511,5.0
304235,6992095,5.0
305074,6992469,5.0
305463,6992642,5.0
320916,6991132,5.0
340837,6992769,5.0
253092,6994359,5.0
286226,6974491,5.0
289348,6970157,5.0
291047,6968647,5.0
292670,6967831,5.0
297201,6966200,5.0
319283,6945225,5.0
346104,6942202,5.0
350253,6939825,5.0
354476,6938365,5.0
381884,6928068,5.0
393474,6916483,5.0
