Cluster,X,Y,Day
0,392764.0,7288496.0,5.0
0,390255.0,7290572.0,5.0
0,388785.0,7295353.0,5.0
0,388660.0,7296595.0,5.0
0,385547.0,7302374.0,5.0
0,395381.0,7321596.0,5.0
0,408352.0,7337809.0,5.0
0,409969.0,7338369.0,5.0
0,415785.0,7339619.0,5.0
0,427681.0,7362523.0,5.0
0,453210.0,7383411.0,5.0
0,464632.0,7394875.0,5.0
0,464219.0,7418848.0,5.0
0,465229.0,7423081.0,5.0
0,486192.0,7460674.0,5.0
0,486227.00000000006,7461059.0,5.0
0,486187.0,7466679.0,5.0
0,482675.0,7474371.0,5.0
0,487610.0,7492893.0,5.0
0,488934.0,7497821.0,5.0
1,518728.00000000006,7597820.0,5.0
1,522078.0,7614745.0,5.0
1,505149.0,7640832.0,5.0
1,508951.0,7669600.0,5.0
0,452047.0,6797426.0,5.0
0,452641.0,6797766.0,5.0
0,453998.0,6798528.0,5.0
0,483655.0,6812632.0,5.0
0,509887.0,6835603.0,5.0
0,510375.0,6835886.0,5.0
0,510494.0,6835968.0,5.0
0,520828.0,6841305.0,5.0
0,524978.0,6843176.0,5.0
0,526894.0,6844432.0,5.0
0,527509.0,6845056.0,5.0
0,533683.0,6855235.0,5.0
0,542341.0,6864920.0,5.0
0,542576.0,6882216.0,5.0
0,543756.0,6887882.0,5.0
0,544702.0,6896775.0,5.0
0,544996.0,6904064.0,5.0
0,544370.0,6909026.0,5.0
0,542402.0,6921020.0,5.0
0,531336.0,6945251.0,5.0
0,529834.0,6960117.0,5.0
0,531144.0,6965861.0,5.0
0,531095.0,6966077.0,5.0
0,531473.0,6968696.0,5.0
0,534113.0,6979943.0,5.0
0,535828.0,6984762.0,5.0
0,535204.0,6985567.0,5.0
0,534932.0,6985762.0,5.0
0,533016.0,6993933.0,5.0
0,530611.0,7002059.0,5.0
0,525433.0,7011185.0,5.0
0,523175.0,7015964.0,5.0
0,513906.0,7040298.0,5.0
0,512248.0,7044408.0,5.0
0,518694.0,7067670.0,5.0
0,520762.00000000006,7078649.0,5.0
0,520149.0,7096864.0,5.0
0,520561.0,7097429.0,5.0
0,526822.0,7116393.0,5.0
0,538486.0,7123164.0,5.0
0,538494.0,7123171.0,5.0
0,548868.0,7130924.0,5.0
0,551249.0,7133598.0,5.0
0,551290.0,7133633.0,5.0
0,564042.0,7160897.0,5.0
0,577937.0,7177467.0,5.0
