x;y
383271.37563451764;6721677.324873096
375889.6905829596;6738494.977578475
362137.27142857143;6764357.814285714
228387.87781350483;7008705.832797428
427096.038116592;6761068.520179372
440827.3055555556;6776090.972222222
446469.2580645161;6823593.387096774
429750.9731543625;7197614.295302014
523297.8333333334;7608110.833333333
544086.0;6868079.53125
530227.4805194807;6964114.415584415
513936.10714285704;7106211.928571428
535610.5621301776;7123320.804733728
554347.0930232559;7138585.325581396
585768.6862745096;7190986.431372548
517687.99999999994;6753333.636363637
643569.8571428573;6858309.952380952
642811.0669291336;6946378.035433071
226798.09433962265;6840703.981132075
219434.0888888889;6865510.822222223
465932.2333333334;6906778.783333333
360037.0491803278;6800176.0
418398.42499999993;6770496.95
546775.076923077;6785476.0
271808.6666666666;6994585.133333333
287968.6811023622;6968874.858267716
300435.6790123457;6987276.358024691
299678.3333333334;6942922.296296297
324932.83999999997;6949409.013333334
450865.5662650603;7205978.493975904
503796.68421052635;7250039.421052631
557548.4375;7274031.0
360697.35714285716;7340450.285714285
367102.7837837838;7452372.783783784
479179.275862069;7170341.620689655
513326.64705882355;7154453.05882353
262253.0;6867503.987012987
324169.70175438595;6666777.01754386
503325.44;7061152.92
408178.9;6702922.5
560316.894736842;6826238.052631579
272728.95238095237;6961959.571428571
472341.6785714285;6969645.5
552728.6052631579;7009295.263157895
568634.1851851852;6992399.666666667
530815.4166666667;7194892.0
381553.23076923075;7499947.153846154
313389.51612903224;6800568.822580645
526490.0;7774186.666666667
