X,Y,prediction
325683,6823242,2
325809,6822960,2
325833,6822947,2
326715,6823111,2
326796,6823127,2
326872,6823144,2
327902,6823593,2
328588,6823536,2
328601,6823520,2
328752,6823489,2
330347,6822938,2
330899,6823077,2
331079,6823127,2
331079,6823127,2
331416,6823183,2
331709,6823212,2
332503,6823005,2
334493,6822221,2
338204,6820540,2
344649,6817015,2
345678,6816039,2
367075,6787421,1
393091,6769513,1
394642,6768908,1
396541,6768290,1
398346,6766879,1
423693,6761638,1
423705,6761629,1
423722,6761616,1
425192,6761311,1
425691,6761487,1
426255,6761297,1
426318,6761276,1
427727,6761009,1
427728,6760996,1
428127,6760972,1
430263,6760293,1
439694,6757203,1
459622,6753503,1
461692,6752696,1
310987,7084116,0
311348,7082734,0
314630,7078701,0
338140,7044879,2
343850,7039381,2
345103,7038035,2
346850,7036300,2
363433,7018388,2
366852,7013958,2
373111,7009901,2
403394,6961979,2
405079,6960252,2
406004,6959645,2
411224,6954098,2
411642,6953739,2
413656,6951877,2
457591,6900758,2
462189,6893864,2
466179,6890455,2
467802,6888929,2
469609,6888252,2
485844,6874061,2
495090,6865010,1
496447,6863298,1
509674,6844009,1
512635,6838245,1
512695,6838133,1
514345,6838872,1
514624,6837732,1
513642,6814023,1
519696,6806496,1
520810,6797902,1
554792,6768867,1
556238,6766214,1
584779,6864740,1
599909,6860982,1
601857,6860894,1
601997,6860884,1
602102,6860887,1
607768,6862671,1
624546,6850814,1
628049,6838421,1
496065,6702965,1
495522,6703811,1
494411,6707595,1
495950,6720588,1
493693,6725177,1
486443,6751266,1
485979,6752017,1
495939,6762310,1
293309,6990954,2
303035,6991511,2
304235,6992095,2
305074,6992469,2
305463,6992642,2
320916,6991132,2
340837,6992769,2
253092,6994359,2
286226,6974491,2
289348,6970157,2
291047,6968647,2
292670,6967831,2
297201,6966200,2
319283,6945225,2
346104,6942202,2
350253,6939825,2
354476,6938365,2
381884,6928068,2
393474,6916483,2
397854,6914103,2
407840,6904334,2
412331,6905515,2
413187,6905488,2
284730,6956529,2
284848,6956769,2
286412,6959602,2
287937,6969809,2
298997,6984239,2
299044,6984953,2
299694,6987194,2
299695,6987207,2
294645,7005550,2
289710,7008481,2
291297,7018880,2
291125,7019888,2
428033,7212503,0
429070,7212303,0
429072,7212302,0
429246,7212253,0
429842,7212312,0
431626,7213329,0
434425,7215245,0
442207,7223134,0
442550,7223271,0
452630,7226927,0
466641,7231069,0
476719,7236875,0
482022,7238212,0
556240,7271791,0
579472,7297508,0
586542,7304531,0
586822,7304637,0
362109,7337130,0
362109,7337133,0
362070,7337521,0
356007,7345195,0
352255,7353912,0
351360,7369847,0
353050,7374925,0
355110,7378510,0
361438,7386986,0
362633,7397907,0
372756,7423222,0
372289,7427506,0
369255,7448823,0
366814,7455424,0
358734,7485608,0
354445,7549457,0
292766,7616628,0
430020,7209474,0
437982,7202874,0
441203,7199902,0
452233,7187372,0
453158,7187111,0
485180,7163692,0
514073,7153693,0
532663,7144251,0
224831,6836599,2
224851,6836619,2
225859,6837665,2
227188,6839348,2
239595,6853855,2
244737,6857867,2
254864,6862170,2
256093,6862553,2
263575,6866969,2
268052,6870009,2
322326,6907678,2
324116,6907169,2
330391,6907484,2
378738,6905587,2
381445,6904636,2
388947,6902930,2
392807,6902393,2
406442,6904172,2
532607,6906602,2
544323,6908332,0
557743,6916447,0
559124,6918279,0
564050,6923355,0
583239,6932649,0
584901,6932874,0
606443,6934557,0
609815,6937229,0
610160,6938561,0
618390,6946832,0
431387,6762318,1
428727,6764773,1
428713,6764827,1
426805,6776153,1
424737,6780048,1
424368,6780580,1
408165,6846132,2
281293,6643593,1
283698,6644496,1
301803,6654778,1
302756,6655024,1
307650,6657641,1
307707,6657689,1
313313,6661977,1
313314,6661978,1
314588,6662675,1
315795,6663453,1
328593,6672465,1
334049,6675728,1
349202,6690510,1
352057,6693185,1
357043,6696399,1
361495,6702645,1
363749,6704583,1
372997,6713079,1
375200,6714033,1
377852,6715246,1
377885,6715245,1
378371,6715235,1
381681,6718748,1
383238,6720597,1
384321,6721189,1
384378,6721214,1
394216,6721792,1
400948,6722479,1
510514,6719945,1
372069,7111670,0
373221,7109835,0
380029,7106810,0
380493,7106546,0
397055,7093269,0
432794,7068868,0
443997,7066828,0
446506,7065652,0
472335,7060943,0
483962,7058125,0
485550,7057128,0
507567,7053077,0
323824,7086803,0
330778,7087101,0
346504,7089662,0
347762,7089775,0
358803,7090080,0
376177,7090115,0
385944,7084931,0
387022,7085020,0
407178,7094389,0
407780,7094366,0
498368,7109786,0
517565,7109860,0
521321,7110104,0
380555,7303132,0
380405,7303192,0
379288,7303782,0
229831,6713786,1
230896,6713187,1
235231,6715601,1
235388,6715665,1
235965,6715749,1
237561,6716042,1
237778,6716119,1
238588,6716279,1
242651,6715286,1
244071,6713642,1
244874,6713102,1
245347,6712772,1
245952,6712475,1
257345,6733050,1
257971,6737573,1
257986,6737657,1
261034,6743564,1
266835,6757846,1
266178,6763622,2
266295,6764895,2
265849,6777340,2
266447,6786265,2
267048,6788296,2
197204,6753834,2
198340,6753640,2
198475,6753603,2
198473,6753590,2
200642,6753794,2
212499,6760589,2
224548,6770892,2
238623,6782025,2
237023,6788347,2
236106,6789998,2
236420,6802392,2
274329,6805456,2
273620,6805998,2
270539,6812597,2
258251,6859404,2
256420,6861976,2
251543,6873031,2
249792,6877885,2
255322,6906952,2
252892,6932521,2
252939,6932660,2
388153,6684070,1
388330,6685143,1
388854,6686470,1
389673,6692697,1
389691,6692718,1
390047,6693695,1
390106,6693814,1
390652,6694526,1
389800,6700227,1
482834,6755095,1
479593,6757500,1
466111,6778379,1
452526,6791680,1
451064,6791567,1
363161,6669814,1
365424,6674679,1
372973,6680947,1
376601,6683593,1
377233,6683990,1
380181,6685279,1
382957,6686467,1
383700,6686484,1
386303,6686139,1
387010,6686040,1
387222,6685962,1
387568,6685799,1
387674,6685694,1
387824,6685582,1
388826,6685064,1
388866,6685064,1
391528,6684391,1
391987,6684237,1
392942,6684066,1
394334,6683440,1
394590,6683328,1
394997,6682892,1
395951,6682048,1
396103,6681855,1
396352,6681442,1
383751,6671850,1
377161,6672256,1
376746,6672248,1
373342,6671569,1
370804,6670862,1
369240,6671034,1
367610,6671435,1
365264,6670217,1
363069,6669298,1
357103,6667125,1
351605,6665451,1
341623,6663728,1
339149,6662817,1
332263,6661078,1
330614,6660967,1
328905,6661141,1
327058,6662139,1
321443,6663296,1
299403,6657337,1
298347,6658887,1
294755,6663879,1
294394,6663972,1
293704,6664378,1
287315,6675812,1
286789,6676415,1
286405,6676947,1
284950,6679307,1
286917,6699304,1
286885,6701504,1
293478,6708957,1
294189,6709655,1
295123,6710784,1
299223,6715986,1
302796,6719551,1
