X,Y,prediction
376284,6733413,0
376102,6734101,0
376073,6734463,0
376028,6734687,0
376041,6734925,0
376037,6735230,0
376185,6736317,0
376240,6737594,0
376147,6738092,0
376067,6738324,0
375715,6739176,0
374835,6741199,0
374413,6741961,0
374256,6742309,0
373774,6743525,0
373389,6744771,0
372222,6746750,0
372004,6747020,0
371382,6747527,0
370529,6748152,0
370309,6748314,0
368716,6750234,0
368685,6750329,0
368537,6750768,0
368140,6752040,0
368069,6752211,0
367914,6752537,0
367921,6752589,0
367564,6753740,0
364986,6759306,0
363787,6760744,0
363678,6761012,0
363549,6761415,0
362647,6764115,0
362374,6764838,0
362292,6765155,0
361692,6765931,0
361538,6766013,0
360902,6766586,0
359661,6768286,0
359458,6768582,0
357610,6770631,0
357594,6770709,0
357182,6771382,0
352551,6774749,0
350922,6774709,0
349296,6775202,0
348012,6776456,0
347247,6776979,0
346666,6777551,0
346398,6777892,0
346333,6777931,0
346053,6778317,0
345639,6778841,0
344998,6779820,0
344352,6780498,0
343614,6781136,0
342106,6781889,0
341400,6782099,0
338986,6782606,0
337411,6783784,0
337389,6783834,0
336920,6784234,0
336382,6784722,0
336112,6784920,0
335623,6785236,0
335430,6785396,0
334629,6785998,0
334604,6786013,0
334172,6786283,0
333782,6786494,0
333410,6786685,0
333105,6786856,0
330686,6788855,0
330656,6788915,0
330420,6789281,0
330334,6789430,0
330302,6789516,0
330217,6790348,0
330265,6791023,0
330280,6791797,0
330256,6792423,0
330365,6794497,0
330197,6795777,0
329101,6798859,0
329821,6800498,0
329897,6801037,0
328755,6803863,0
328351,6806069,0
328345,6806177,0
328417,6806408,0
328451,6806706,0
328492,6806809,0
328506,6807465,0
328487,6807745,0
328488,6808482,0
328495,6808820,0
328534,6808934,0
328557,6809106,0
328583,6809696,0
328517,6810138,0
328447,6810516,0
328140,6811401,0
327340,6812683,0
327352,6812966,0
327318,6813448,0
327238,6813606,0
327213,6813645,0
327114,6813780,0
326937,6814144,0
326888,6814977,0
326941,6815180,0
326997,6815393,0
